                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5202,                 2.4383,                 1.7588,                0.58717,                0.54721,                0.56416,                0.31252,                 1.5156,                 1.5957,                  1.613,             0.00018409,             0.00018409,             0.00018409
                      2,                 1.3676,                 1.6412,                 1.5932,                0.59462,                0.57335,                0.61639,                0.35001,                 1.5741,                 1.6015,                  1.655,             0.00036211,             0.00036211,             0.00036211
                      3,                 1.3494,                 1.5434,                 1.5854,                0.57672,                0.59408,                0.62736,                0.35919,                 1.5796,                 1.3683,                  1.645,             0.00053279,             0.00053279,             0.00053279
                      4,                 1.3361,                 1.4535,                 1.5537,                0.68454,                0.57253,                0.64634,                0.32535,                 1.6636,                 1.3724,                 1.7037,             0.00052297,             0.00052297,             0.00052297
                      5,                    1.3,                 1.3792,                  1.529,                0.66644,                0.65068,                 0.6855,                0.39035,                 1.5418,                 1.2888,                 1.6294,             0.00051196,             0.00051196,             0.00051196
                      6,                 1.2737,                 1.3135,                 1.5106,                0.65457,                0.64009,                0.68785,                0.35174,                  1.764,                 1.3656,                 1.8041,             0.00050096,             0.00050096,             0.00050096
                      7,                 1.2378,                 1.2587,                 1.4778,                0.70124,                0.64496,                0.68377,                0.38818,                  1.583,                 1.3238,                  1.626,             0.00048995,             0.00048995,             0.00048995
                      8,                 1.2228,                 1.2185,                 1.4707,                0.71795,                0.65946,                0.70226,                0.37405,                   1.68,                 1.1676,                  1.744,             0.00047894,             0.00047894,             0.00047894
                      9,                 1.2046,                  1.165,                 1.4478,                 0.7349,                0.66931,                0.70709,                0.42659,                  1.455,                 1.1398,                 1.5291,             0.00046793,             0.00046793,             0.00046793
                     10,                 1.1765,                 1.1201,                 1.4315,                0.76289,                0.63639,                0.69528,                0.42516,                 1.4228,                 1.1498,                  1.534,             0.00045692,             0.00045692,             0.00045692
                     11,                 1.1711,                 1.1121,                  1.427,                 0.7327,                0.65492,                0.71942,                0.44306,                 1.4358,                 1.1076,                 1.5169,             0.00044591,             0.00044591,             0.00044591
                     12,                 1.1508,                 1.0773,                 1.4131,                0.72559,                0.67642,                0.72986,                0.43885,                 1.4366,                 1.1302,                 1.5289,              0.0004349,              0.0004349,              0.0004349
                     13,                 1.1232,                 1.0509,                 1.4001,                0.72103,                0.67882,                0.72402,                0.43389,                 1.4861,                  1.124,                 1.5757,             0.00042389,             0.00042389,             0.00042389
                     14,                 1.1107,                 1.0086,                 1.3861,                0.77503,                0.66509,                  0.738,                0.45377,                 1.4169,                 1.0948,                  1.537,             0.00041289,             0.00041289,             0.00041289
                     15,                 1.0903,                0.97119,                 1.3696,                0.75087,                0.65453,                0.71006,                 0.4168,                  1.457,                 1.1927,                 1.5695,             0.00040188,             0.00040188,             0.00040188
                     16,                 1.0895,                0.96008,                 1.3686,                0.75064,                0.68298,                0.74156,                0.46508,                   1.35,                 1.0742,                 1.4809,             0.00039087,             0.00039087,             0.00039087
                     17,                 1.0689,                0.92159,                 1.3538,                0.75698,                0.68074,                0.72357,                0.44808,                  1.411,                 1.0838,                 1.5202,             0.00037986,             0.00037986,             0.00037986
                     18,                 1.0661,                0.91315,                 1.3506,                0.74806,                0.67605,                0.71892,                 0.4452,                 1.3846,                 1.0569,                 1.4947,             0.00036885,             0.00036885,             0.00036885
                     19,                 1.0596,                0.89336,                 1.3429,                0.72638,                0.68538,                0.72001,                0.45307,                 1.4067,                  1.053,                 1.5211,             0.00035784,             0.00035784,             0.00035784
                     20,                  1.041,                0.87548,                 1.3291,                0.79426,                0.67966,                 0.7423,                 0.4772,                 1.3631,                 1.0268,                 1.4857,             0.00034683,             0.00034683,             0.00034683
                     21,                 1.0313,                0.84402,                 1.3162,                0.74125,                0.69123,                 0.7286,                0.44494,                 1.4255,                 1.1124,                 1.5208,             0.00033582,             0.00033582,             0.00033582
                     22,                 1.0107,                0.82593,                 1.2955,                 0.7463,                0.69336,                0.73742,                0.47927,                 1.3656,                 1.0223,                 1.4679,             0.00032482,             0.00032482,             0.00032482
